"NTD ID","Agency","Reporter Type","Organization Type","City","State","Report Year","Agency VOMS","UACE Code","UZA Name","Primary UZA Area Sq Miles","Primary UZA Population","Service Area Sq Miles","Service Area Population","Actual Vehicle/Passenger Car Miles","Actual Vehicle/Passenger Car Revenue Miles","Actual Vehicle/Passenger Car Deadhead Miles","Scheduled Vehicle/Passenger Car Revenue Miles","Actual Vehicle/Passenger Car Hours","Actual Vehicle/Passenger Car Revenue Hours","Actual Vehicle/Passenger Car Deadhead Hours","Charter Service Hours","School Bus Hours","Trains in Operation","Train Miles","Train Revenue Miles","Train Deadhead Miles","Train Hours","Train Revenue Hours","Train Deadhead Hours","Unlinked Passenger Trips (UPT)","ADA UPT","Sponsored Service UPT","Passenger Miles Traveled","Directional Route Miles"
"20940","Madison County, dba: Madison Transit System","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Wampsville","NY","2023","7",,,"0",,,,"0","162,654","0","0","0","7,852","0",,,"0","0","0",,"0","0",,"16,378",,,"0","0"
"20941","City of Corning, dba: Corning Erwin Area Transit System","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Corning","NY","2023","5",,,"0",,,,"0","148,735","0","0","0","12,217","0",,,"0","0","0",,"0","0",,"84,552",,,"0","0"
"20942","Oswego County, dba: Oswego Public Transportation","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Oswego","NY","2023","8",,,"0",,,,"0","464,896","0","0","0","20,466","0",,,"0","0","0",,"0","0",,"49,070",,"11,773","0","0"
"20944","Salem County, dba: SCOOT Transportation","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Salem","NJ","2023","14",,,"0",,"567","253,000","0","266,469","0","0","0","10,114","0",,,"0","0","0",,"0","0",,"17,249",,"0","0","0"
"20945","Schuyler County","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Watkins Glen","NY","2023","6",,,"0",,,,"0","280,838","0","0","0","13,397","0",,,"0","0","0",,"0","0",,"27,211",,"915","0","0"
"20946","Steuben County, dba: Steuben County Transportation System","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Bath","NY","2023","2",,,"0",,,,"0","152,838","0","0","0","6,462","0",,,"0","0","0",,"0","0",,"43,502",,,"0","0"
"20947","RTS Genesee","Rural Reporter","Independent Public Agency or Authority of Transit Service","Rochester","NY","2023","10",,,"0",,,,"0","134,502","0","0","0","11,118","0",,,"0","0","0",,"0","0",,"26,782",,,"0","0"
"20950","Sussex County, dba: Skylands Ride","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Newton","NJ","2023","22",,,"0",,"251","96,304","0","544,848","0","0","0","36,456","0",,,"0","0","0",,"0","0",,"22,313",,"132","0","0"
"20951","Allegany County, dba: Access Allegany","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Belmont","NY","2023","6",,,"0",,,,"0","422,678","0","0","0","15,178","0",,,"0","0","0",,"0","0",,"49,342",,,"0","0"
"20953","City of Hornell, dba: Hornell Area Transit","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Hornell","NY","2023","12",,,"0",,,,"0","172,708","0","0","0","11,935","0",,,"0","0","0",,"0","0",,"45,777",,"28,869","0","0"
"20954","Town of Goshen, dba: Town of Goshen and Chester Dial-A-Bus","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Goshen","NY","2023","2",,,"0",,,,"0","27,230","0","0","0","2,120","0",,,"0","0","0",,"0","0",,"5,397",,,"0","0"
"20957","County of Niagara, dba: Connect Niagara","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Lockport","NY","2023","4",,,"0",,,,"0","193,232","0","0","0","7,365","0",,,"0","0","0",,"0","0",,"8,448",,,"0","0"
"20958","Cortland County, dba: Way to Go Cortland","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Cortland","NY","2023","15",,,"0",,"114","14,827","0","328,928","0","0","0","18,670","0",,,"0","0","0",,"0","0",,"83,572",,"1,105","0","0"
"20959","Chautauqua County, dba: CHQ Transit","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Mayville","NY","2023","25",,,"0",,"142","50,269","0","881,340","0","0","0","65,246","0",,,"0","0","0",,"0","0",,"190,811",,"2,917","0","0"
"20960","City of Oneonta, dba: Oneonta Public Transit","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Oneonta","NY","2023","14",,,"0",,,,"0","398,492","0","0","0","29,887","0",,,"0","0","0",,"0","0",,"382,372",,"0","0","0"
"20962","RTS Livingston","Rural Reporter","Independent Public Agency or Authority of Transit Service","Rochester","NY","2023","13",,,"0",,"293","694,394","0","319,016","0","0","0","17,534","0",,,"0","0","0",,"0","0",,"76,022",,,"0","0"
"20964","Fulton County, dba: Brown Coach Commuter","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Johnstown","NY","2023","1",,,"0",,,,"0","64,862","0","0","0","3,530","0",,,"0","0","0",,"0","0",,"11,688",,,"0","0"
"20967","RTS Ontario","Rural Reporter","Independent Public Agency or Authority of Transit Service","Rochester","NY","2023","18",,,"0",,"407","981,771","0","457,394","0","0","0","16,740","0",,,"0","0","0",,"0","0",,"132,757",,,"0","0"
"20968","County of Rensselaer","Rural Reporter","City, County or Local Government Unit or Department of Transportation","East Greenbush","NY","2023","1",,,"0",,"175","351,997","0","45,085","0","0","0","1,743","0",,,"0","0","0",,"0","0",,"3,031",,,"0","0"
"20973","Town of Montgomery, dba: Montgomery and Crawford Dial-A-Ride Transportation","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Montgomery","NY","2023","3",,,"0",,"510","641,357","0","66,379","0","0","0","5,827","0",,,"0","0","0",,"0","0",,"9,530",,,"0","0"
"20975","City of Olean, dba: Olean Area Transit System","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Olean","NY","2023","5",,,"0",,"1,124","181,670","0","172,983","0","0","0","10,790","0",,,"0","0","0",,"0","0",,"53,287",,,"0","0"
"20980","RTS Wyoming","Rural Reporter","Independent Public Agency or Authority of Transit Service","Rochester","NY","2023","14",,,"0",,,,"0","307,023","0","0","0","14,451","0",,,"0","0","0",,"0","0",,"47,977",,,"0","0"
"20981","City of Gloversville , dba: Gloversville Transit System","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Gloversville","NY","2023","6",,,"0",,,,"0","145,288","0","0","0","8,304","0",,,"0","0","0",,"0","0",,"49,708",,"1,298","0","0"
"20983","RTS Wayne","Rural Reporter","Independent Public Agency or Authority of Transit Service","Rochester","NY","2023","34",,,"0",,,,"0","584,449","0","0","0","25,355","0",,,"0","0","0",,"0","0",,"93,925",,,"0","0"
"20988","City of Port Jervis, dba: City of Port Jervis Dial-A-Bus","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Port Jervis","NY","2023","2",,,"0",,,,"0","29,115","0","0","0","3,016","0",,,"0","0","0",,"0","0",,"10,543",,"0","0","0"
"20991","St Lawrence County, dba: St Lawrence County Public Transit","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Canton","NY","2023","22",,,"0",,,,"0","986,936","0","0","0","45,986","0",,,"0","0","0",,"0","0",,"134,322",,,"0","0"
"20992","Franklin County , dba: Franklin County Public Transportation","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Malone","NY","2023","15",,,"0",,,,"0","410,772","0","0","0","12,438","0",,,"0","0","0",,"0","0",,"67,303",,"11,249","0","0"
"20998","Otsego County, dba: Otsego Express","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Cooperstown","NY","2023","10",,,"0",,,,"0","197,103","0","0","0","9,356","0",,,"0","0","0",,"0","0",,"26,155",,,"0","0"
"20999","Columbia County, dba: Columbia County Public Transportation","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Hudson","NY","2023","5",,,"0",,,,"0","142,484","0","0","0","7,212","0",,,"0","0","0",,"0","0",,"37,765",,,"0","0"
"21000","Yates County, dba: Yates Transit Service","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Penn Yan","NY","2023","5",,,"0",,,,"0","188,660","0","0","0","7,928","0",,,"0","0","0",,"0","0",,"25,725",,,"0","0"
"22929","Seneca Nation of Indians","Reduced Reporter","Tribe","Salamanca","NY","2023","2","00036","New York Non-UZA","0","3,425,270",,,"0","225,994","0","0","0","7,331","0",,,"0","0","0",,"0","0",,"17,981",,,"0","0"
"22930","New York City Economic Development Corporation","Full Reporter","Private-Non-Profit Corporation","New York","NY","2023","29","63217","New York--Jersey City--Newark, NY--NJ","3,248.12","19,426,449","13","576,545","1,235,427","1,084,453","150,974","1,099,646","117,980","109,465","8,515","0","0","0","0","0",,"0","0",,"6,687,168",,,"33,504,383","71.12"
"30001","Kanawha Valley Regional Transportation Authority","Full Reporter","Independent Public Agency or Authority of Transit Service","Charleston","WV","2023","45","15481","Charleston, WV","92.92","140,958","902","178,281","2,554,687","2,460,481","94,206","2,028,392","142,370","138,607","3,763","677","0","0","0","0",,"0","0",,"1,094,139","27,830","0","5,380,596","0"
"30002","The Tri-State Transit Authority","Full Reporter","Independent Public Agency or Authority of Transit Service","Huntington","WV","2023","33","40753","Huntington, WV--KY--OH","128.87","200,157","92","144,339","1,280,501","1,204,363","76,138","883,450","77,419","71,814","5,605","67",,"0","0","0",,"0","0",,"731,480","51,944",,"4,274,626","0"
"30003","Mid-Ohio Valley Transit Authority, dba: Easy Rider","Reduced Reporter","Independent Public Agency or Authority of Transit Service","Parkersburg","WV","2023","13","67672","Parkersburg, WV--OH","39.9","62,500","14","39,979","0","495,925","0","0","0","37,114","0",,,"0","0","0",,"0","0",,"272,969",,"0","0","0"
"30006","Greater Richmond Transit Company","Full Reporter","Other Publicly-Owned or Privately Chartered Corporation","Richmond","VA","2023","196","74746","Richmond, VA","512.35","1,059,150","322","586,726","9,190,116","8,365,799","824,317","4,837,936","643,500","596,302","47,198","9","0","0","0","0",,"0","0",,"9,723,640","241,985","0","48,410,504","14.24"
"30007","Greater Roanoke Transit Company, dba: Valley Metro","Full Reporter","Other Publicly-Owned or Privately Chartered Corporation","Roanoke","VA","2023","41","75421","Roanoke, VA","125.5","217,312","43","132,259","2,474,164","2,266,478","207,686","1,811,202","152,069","141,514","10,555","0","0","0","0","0",,"0","0",,"1,287,135","70,233",,"7,602,285","0"
"30008","Greater Lynchburg Transit Company","Full Reporter","Independent Public Agency or Authority of Transit Service","Lynchburg","VA","2023","20","52201","Lynchburg, VA","91.6","125,596","72","80,846","1,200,733","1,150,848","49,885","1,063,528","83,571","79,820","3,751","0","0","0","0","0",,"0","0",,"520,122","17,078","0","2,306,018","0"
"30009","City of Petersburg , dba: Petersburg Area Transit","Reduced Reporter","City, County or Local Government Unit or Department of Transportation","Petersburg","VA","2023","17","74746","Richmond, VA","512.35","1,059,150","7","72,650","0","553,318","0","0","0","44,944","0",,,"0","0","0",,"0","0",,"476,943",,"0","0","0"
"30010","Lehigh and Northampton Transportation Authority","Full Reporter","Independent Public Agency or Authority of Transit Service","Allentown","PA","2023","139","01495","Allentown--Bethlehem, PA--NJ","261.55","621,703","324","533,100","6,900,714","5,423,444","1,477,270","3,613,141","462,285","368,371","93,914","0","0","0","0","0",,"0","0",,"3,897,096","45,038","0","19,797,124","0"
"30011","Altoona Metro Transit, dba: AMTRAN","Full Reporter","Independent Public Agency or Authority of Transit Service","Altoona","PA","2023","21","01792","Altoona, PA","37.01","74,426","25","69,608","559,048","549,639","9,409","549,003","43,163","41,480","1,683","0","0","0","0","0",,"0","0",,"444,716","49",,"1,614,732","0"
"30012","Cambria County Transit Authority, dba: CamTran","Full Reporter","Independent Public Agency or Authority of Transit Service","Johnstown","PA","2023","43","43291","Johnstown, PA","34.7","61,521","688","133,472","1,363,594","1,266,541","97,053","1,140,278","97,741","91,597","6,144","0","0","0","0","0","0","0","0","0","804,968","4,621","0","4,713,352","0.34"
"30013","Erie Metropolitan Transit Authority, dba: the e","Full Reporter","Independent Public Agency or Authority of Transit Service","Erie","PA","2023","80","27766","Erie, PA","73.34","187,820","77","189,872","2,751,817","2,594,434","157,383","1,817,820","197,471","184,583","12,888",,,"0","0","0",,"0","0",,"1,423,465","43,244","2,698","3,300,207","0"
"30015","Luzerne County Transportation Authority","Full Reporter","Independent Public Agency or Authority of Transit Service",,"PA","2023","67","80227","Scranton, PA","162.16","366,713","121","230,577","2,175,485","1,928,117","247,368","1,209,884","142,185","128,177","14,008","0","0","0","0","0",,"0","0",,"864,744","20,710","0","4,208,055","0"
"30019","Southeastern Pennsylvania Transportation Authority","Full Reporter","Independent Public Agency or Authority of Transit Service","Philadelphia","PA","2023","1,952","69076","Philadelphia, PA--NJ--DE--MD","1,898.19","5,696,125","844","3,475,337","86,777,715","80,225,805","6,551,910","76,838,957","7,244,854","6,794,130","450,724","0","0","0","10,046,242","9,753,177","293,065","750,705","730,235","20,470","197,264,920","510,017",,"834,809,485","644.66"
"30022","Pittsburgh Regional Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","Pittsburgh","PA","2023","780","69697","Pittsburgh, PA","906.64","1,745,039","775","1,238,090","33,093,706","26,447,131","6,646,575","20,467,774","2,332,730","2,025,498","307,232","0","0","0","1,392,111","1,303,920","88,191","111,541","104,910","6,631","37,908,532","173,405","574,435","155,119,545","106.29"
"30023","Beaver County Transit Authority","Full Reporter","Independent Public Agency or Authority of Transit Service","Rochester","PA","2023","31","69697","Pittsburgh, PA","906.64","1,745,039","440","168,215","1,213,752","1,037,781","175,971","599,056","74,008","66,542","7,466","0","0","0","0","0",,"0","0",,"461,712",,"60,299","3,621,844","10.1"
"30025","County of Lackawanna Transit System","Full Reporter","Independent Public Agency or Authority of Transit Service","Scranton","PA","2023","75","80227","Scranton, PA","162.16","366,713","145","214,437","2,175,670","1,870,066","305,604","1,122,728","154,488","139,293","15,195","0","0","0","0","0",,"0","0",,"798,042","15,000","0","3,912,648","0"
"30026","River Valley Transit Authority","Full Reporter","Independent Public Agency or Authority of Transit Service","Williamsport","PA","2023","31","95455","Williamsport, PA","27.72","55,344","92","67,938","1,016,452","960,748","55,704","878,914","58,659","55,814","2,845","1,858",,"0","0","0",,"0","0",,"780,399","5,897",,"4,578,701","0"
"30030","Washington Metropolitan Area Transit Authority, dba: Washington Metro","Full Reporter","Independent Public Agency or Authority of Transit Service","Washington","DC","2023","2,727","92242","Washington--Arlington, DC--VA--MD","1,294.51","5,174,759","1,108","4,645,915","144,583,562","129,413,131","15,170,431","107,660,799","9,624,001","8,664,787","959,214","0","0","0","11,924,438","11,900,027","24,411","522,898","521,698","1,200","231,023,784","1,394,146",,"912,604,948","281.32"
"30034","Maryland Transit Administration, dba: MTA","Full Reporter","State Government Unit or Department of Transportation","Baltimore","MD","2023","1,550","04843","Baltimore, MD","654.93","2,212,038","2,560","7,811,145","62,345,023","56,442,688","8,700,427","43,059,796","4,286,022","3,770,860","665,133","0","0","0","3,521,736","3,358,684","163,052","129,518","119,458","10,060","57,907,024","2,417,466","0","343,206,699","524.19"
"30035","Ohio Valley Regional Transportation Authority","Full Reporter","Independent Public Agency or Authority of Transit Service","Wheeling","WV","2023","17","94726","Wheeling, WV--OH","36.81","57,695","27","57,416","829,012","800,208","28,804","764,560","59,462","56,985","2,477","8","0","0","0","0",,"0","0",,"317,863","6,303",,"1,774,356","0"
"30036","City of Charlottesville, dba: Charlottesville Area Transit","Reduced Reporter","City, County or Local Government Unit or Department of Transportation","Charlottesville","VA","2023","19","15724","Charlottesville, VA","36.87","104,191","38","85,755","0","782,453","0","0","0","73,720","0",,,"0","0","0",,"0","0",,"1,147,018",,,"0","0"
"30040","City of Annapolis, dba: Annapolis Transit","Reduced Reporter","City, County or Local Government Unit or Department of Transportation","Annapolis","MD","2023","12","04843","Baltimore, MD","654.93","2,212,038","20","97,649","0","460,296","0","0","0","47,142","0",,,"0","0","0",,"0","0",,"306,465",,"0","0","0"
"30041","Board of Commissioners of Allegany County Maryland, dba: Allegany County Transit","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Cumberland","MD","2023","17",,,"0",,,,"0","262,860","0","0","0","20,978","0",,,"0","0","0",,"0","0",,"107,209",,"0","0","0"
"30042","Washington County , dba: Washington County Transit","Reduced Reporter","City, County or Local Government Unit or Department of Transportation","Hagerstown","MD","2023","12","36190","Hagerstown, MD--WV--PA--VA","120.77","197,557","70","48,220","0","478,694","0","0","0","32,390","0",,,"0","0","0",,"0","0",,"348,048",,"0","0","0"
"30044","Westmoreland County Transit Authority","Full Reporter","Independent Public Agency or Authority of Transit Service","Greensburg","PA","2023","73","69697","Pittsburgh, PA","906.64","1,745,039","1,028","364,663","2,947,675","2,298,450","649,225","943,224","140,319","110,884","29,435","0","0","0","0","0",,"0","0",,"350,383","15,679","0","4,294,890","13.6"
"30045","JAUNT, Inc.","Full Reporter","Other Publicly-Owned or Privately Chartered Corporation","Charlottesville","VA","2023","77","15724","Charlottesville, VA","36.87","104,191","2,719","275,944","1,596,610","1,451,126","145,484","234,786","98,498","91,701","6,797","0","0","0","0","0",,"0","0",,"240,235","99,524","14,385","2,433,504","0"
"30051","Montgomery County, Maryland, dba: Ride On","Full Reporter","City, County or Local Government Unit or Department of Transportation","Rockville","MD","2023","288","92242","Washington--Arlington, DC--VA--MD","1,294.51","5,174,759","495","1,062,061","14,970,284","12,399,309","2,570,975","12,839,484","1,108,692","974,883","133,809",,,"0","0","0",,"0","0",,"14,372,995",,,"58,141,297","0"
"30053","City of Bristol Virginia, dba: Bristol Virginia Transit","Reduced Reporter","City, County or Local Government Unit or Department of Transportation","Bristol","VA","2023","7","10351","Bristol, TN--VA","68.69","70,638","13","17,219","0","94,273","0","0","0","7,856","0",,,"0","0","0",,"0","0",,"43,341",,"0","0","0"
"30054","Centre Area Transportation Authority","Full Reporter","Independent Public Agency or Authority of Transit Service","State College","PA","2023","90","84493","State College, PA","25.92","83,674","92","104,135","2,586,355","2,374,422","211,933","1,430,280","184,660","165,011","19,649","0","0","0","0","0",,"0","0",,"4,823,095","14,990",,"11,988,843","0"
"30055","Mercer County Regional Council of Governments, dba: Shenango Valley Shuttle Service /MCCT","Reduced Reporter","City, County or Local Government Unit or Department of Transportation","Sharon","PA","2023","24","00042","Pennsylvania Non-UZA","0","4,196,634","173","96,432","0","656,302","0","0","0","40,438","0",,,"0","0","0",,"0","0",,"125,393",,"0","0","0"
"30057","Pennsylvania Department of Transportation","Full Reporter","State Government Unit or Department of Transportation","Harrisburg","PA","2023","20","69076","Philadelphia, PA--NJ--DE--MD","1,898.19","5,696,125","2,092","3,554,425","2,120,274","2,120,274","0","2,141,308","37,378","37,378","0",,,"0","428,688","428,688","0","7,369","7,369","0","530,252",,,"33,974,346","144.4"
"30058","City of Fairfax, dba: CUE Bus","Full Reporter","City, County or Local Government Unit or Department of Transportation","Fairfax","VA","2023","8","92242","Washington--Arlington, DC--VA--MD","1,294.51","5,174,759","6","22,565","448,733","434,730","14,003","435,252","35,338","34,460","878",,,"0","0","0",,"0","0",,"845,194",,,"2,558,100","0"
"30061","Mid Mon Valley Transit Authority","Full Reporter","Independent Public Agency or Authority of Transit Service","Charleroi","PA","2023","22","69697","Pittsburgh, PA","906.64","1,745,039","44","79,666","907,888","753,987","153,901","761,644","53,854","46,279","7,575","0","0","0","0","0",,"0","0",,"209,190",,,"2,319,917","7.76"
"30068","Fairfax County, VA, dba: Fairfax Connector Bus System","Full Reporter","City, County or Local Government Unit or Department of Transportation","Fairfax","VA","2023","278","92242","Washington--Arlington, DC--VA--MD","1,294.51","5,174,759","407","1,172,646","13,327,653","11,068,404","2,259,249","11,055,349","930,593","848,788","81,805","0","0","0","0","0",,"0","0",,"8,365,190",,,"44,414,321","1.9"
"30069","City of Danville , dba: Danville Transit","Rural Reporter","City, County or Local Government Unit or Department of Transportation","Danville","VA","2023","18",,,"0",,,,"0","531,550","0","0","0","34,549","0",,,"0","0","0",,"0","0",,"247,338",,"0","0","0"
"30070","Potomac and Rappahannock Transportation Commission, dba: OmniRide","Full Reporter","Independent Public Agency or Authority of Transit Service","Woodbridge","VA","2023","420","92242","Washington--Arlington, DC--VA--MD","1,294.51","5,174,759","361","482,204","11,343,455","9,171,316","2,172,139","3,664,355","363,073","292,274","70,799","0","0","0","0","0",,"0","0",,"2,158,231",,,"54,836,885","0"
"30071","City of Alexandria , dba: DASH","Full Reporter","City, County or Local Government Unit or Department of Transportation","Alexandria","VA","2023","92","92242","Washington--Arlington, DC--VA--MD","1,294.51","5,174,759","16","159,200","3,288,586","2,895,150","393,436","2,645,830","347,051","309,791","37,260","898","0","0","0","0",,"0","0",,"4,580,105","39,245","0","10,493,813","0"
"30072","Frederick County, Maryland, dba: TransIt Services of Frederick","Full Reporter","City, County or Local Government Unit or Department of Transportation","Frederick","MD","2023","36","31519","Frederick, MD","80.29","176,456","18","70,036","1,150,481","1,045,285","105,196","722,591","84,874","78,534","6,340",,,"0","0","0",,"0","0",,"677,642","11,688",,"3,659,312","0"
"30073","Virginia Railway Express","Full Reporter","Independent Public Agency or Authority of Transit Service","Alexandria","VA","2023","99","92242","Washington--Arlington, DC--VA--MD","1,294.51","5,174,759","730","2,415,555","2,511,061","2,413,451","97,610","2,483,286","86,397","78,877","7,520",,,"0","387,183","372,045","15,138","13,225","12,005","1,220","1,466,250",,,"45,696,464","177.22"
"30074","Harford County Maryland, dba: Harford Transit LINK","Reduced Reporter","City, County or Local Government Unit or Department of Transportation","Bel Air","MD","2023","25","06290","Bel Air--Aberdeen, MD","107.2","214,647","527","262,977","0","1,016,258","0","0","0","58,226","0",,,"0","0","0",,"0","0",,"319,513",,"0","0","0"
"30075","Delaware Transit Corporation","Full Reporter","Independent Public Agency or Authority of Transit Service","Dover","DE","2023","498","69076","Philadelphia, PA--NJ--DE--MD","1,898.19","5,696,125","1,948","1,018,396","18,570,151","16,116,866","2,453,285","9,444,009","1,058,199","941,997","116,202","0","0","0","0","0",,"0","0",,"7,629,486","518,196","0","49,897,548","0"
"30076","Williamsburg Area Transit Authority","Full Reporter","Independent Public Agency or Authority of Transit Service","Williamsburg","VA","2023","19","95411","Williamsburg, VA","69.87","89,585","65","81,100","1,030,200","974,210","55,990","977,403","60,512","55,611","4,901","0","0","0","0","0",,"0","0",,"740,818","16,137","0","3,497,142","0"
"30077","Borough of Pottstown, dba: Pottstown Area Rapid Transit","Full Reporter","City, County or Local Government Unit or Department of Transportation","Pottstown","PA","2023","6","69076","Philadelphia, PA--NJ--DE--MD","1,898.19","5,696,125","34","54,000","318,983","310,459","8,524","287,768","27,560","24,522","3,038","0","0","0","0","0",,"0","0",,"138,196","4,370","0","240,733","0"
"30078","Southwestern Pennsylvania Commission, dba: CommuteInfo","Full Reporter","MPO, COG or Other Planning Agency","Pittsburgh","PA","2023","14","69697","Pittsburgh, PA","906.64","1,745,039","833","1,614,197","197,070","197,070","0","0","4,436","4,436","0",,,"0","0","0",,"0","0",,"22,169",,,"758,063","0"
"30079","City of Fredericksburg, dba: Fredericksburg Regional Transit","Reduced Reporter","City, County or Local Government Unit or Department of Transportation","Fredericksburg","VA","2023","20","31600","Fredericksburg, VA","89.62","167,679","242","113,716","0","548,622","0","0","0","37,811","0",,,"0","0","0",,"0","0",,"288,349",,,"0","0"
"30080","Arlington County, Virginia, dba: Arlington Transit","Full Reporter","City, County or Local Government Unit or Department of Transportation","Arlington","VA","2023","77","92242","Washington--Arlington, DC--VA--MD","1,294.51","5,174,759","26","234,200","2,316,340","2,176,931","267,076","1,937,527","226,096","213,565","20,215","0","0","0","0","0",,"0","0",,"2,097,034","47,932","0","5,273,946","0"
"30081","Loudoun County, dba: Loudoun County Transit","Full Reporter","City, County or Local Government Unit or Department of Transportation","Leesburg","VA","2023","73","92242","Washington--Arlington, DC--VA--MD","1,294.51","5,174,759","520","373,694","2,842,794","2,090,842","751,952","1,991,212","128,624","108,246","20,378",,,"0","0","0",,"0","0",,"526,819","14,974",,"7,797,386","0"
"30083","Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","Hampton","VA","2023","349","90892","Virginia Beach--Norfolk, VA","481.67","1,451,578","438","1,150,833","13,803,862","14,135,835","450,795","10,151,007","1,015,292","997,089","47,525","0","0","0","328,622","328,493","129","27,450","27,429","21","7,167,154","357,894","0","36,797,144","59.84"
"30085","Prince George's County, Maryland, dba: Prince George's County Transit/TheBus","Full Reporter","City, County or Local Government Unit or Department of Transportation","Upper Marlboro","MD","2023","96","92242","Washington--Arlington, DC--VA--MD","1,294.51","5,174,759","487","967,201","3,760,419","3,245,730","514,689","2,992,227","318,075","276,295","41,780",,,"0","0","0",,"0","0",,"1,800,711","7,379",,"13,130,314","0"
"30087","County of Fayette, dba: Fayette Area Coordinated Transportation","Full Reporter","City, County or Local Government Unit or Department of Transportation","Uniontown","PA","2023","27","00042","Pennsylvania Non-UZA","0","4,196,634","812","136,606","1,355,147","1,187,290","167,857","490,528","69,037","60,961","8,076","0","0","0","0","0",,"0","0",,"181,885","11,131","1,294","2,022,566","0.35"
"30088","County Commissioners of Charles County, MD, dba: PGM VanGO","Full Reporter","City, County or Local Government Unit or Department of Transportation","La Plata","MD","2023","32","91261","Waldorf, MD","59.35","118,601","458","170,102","1,873,352","1,749,203","124,149","1,356,326","105,952","100,877","5,075","0","0","0","0","0",,"0","0",,"542,316","24,247",,"4,398,362","0"
"30089","Monongalia County Urban Mass Transit Authority, dba: Mountain Line Transit Authority","Reduced Reporter","Independent Public Agency or Authority of Transit Service","Morgantown","WV","2023","30","59275","Morgantown, WV","40.7","77,620","293","105,822","0","1,566,180","0","0","0","75,730","0",,,"0","0","0",,"0","0",,"620,093",,"0","0","0"
"30090","Eastern Panhandle Transit Authority","Reduced Reporter","Independent Public Agency or Authority of Transit Service","Martinsburg","WV","2023","27","36190","Hagerstown, MD--WV--PA--VA","120.77","197,557","121","188,469","0","633,257","0","0","0","33,473","0",,,"0","0","0",,"0","0",,"139,260",,"0","0","0"
"30091","Town of Blacksburg, dba: Blacksburg Transit","Full Reporter","City, County or Local Government Unit or Department of Transportation","Blacksburg","VA","2023","34","08002","Blacksburg--Christiansburg, VA","33.98","72,400","36","70,032","1,057,635","970,178","87,457","840,351","97,067","92,884","4,183","0","0","0","0","0",,"0","0",,"3,520,078","14,909","0","6,571,617","0"
"30092","The County Commissioners of Carroll County, Maryland, dba: Carroll Transit System","Reduced Reporter","City, County or Local Government Unit or Department of Transportation","Westminster","MD","2023","23","31519","Frederick, MD","80.29","176,456","452","172,891","0","706,670","0","0","0","54,574","0",,,"0","0","0",,"0","0",,"104,170",,"35,814","0","0"
"30093","City of Hazleton, dba: Hazleton Public Transit","Reduced Reporter","City, County or Local Government Unit or Department of Transportation","Hazleton","PA","2023","11","37945","Hazleton, PA","19.02","50,860","46","82,286","0","414,811","0","0","0","30,615","0",,,"0","0","0",,"0","0",,"145,497",,"0","0","0"
"30094","City of Harrisonburg","Full Reporter","City, County or Local Government Unit or Department of Transportation","Harrisonburg","VA","2023","32","37162","Harrisonburg, VA","31.1","73,377","17","53,162","760,033","723,646","36,387","591,583","75,557","72,014","3,543","0","0","0","0","0",,"0","0",,"1,522,746","39,536","0","3,218,771","0"
"30095","County of Lebanon Transit Authority, dba: Lebanon Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","Lebanon","PA","2023","23","48664","Lebanon, PA","32.71","75,485","362","146,164","730,450","691,775","38,675","446,618","43,444","40,846","2,598",,,"0","0","0",,"0","0",,"243,772","3,906",,"1,506,617","0"
"30096","The Tri-County Council for the Lower Eastern Shore of Maryland, dba: Shore Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","Salisbury","MD","2023","30","78364","Salisbury, MD--DE","48.39","78,075","1,031","181,696","1,795,318","1,617,398","177,920","1,112,675","87,444","76,576","10,868",,,"0","0","0",,"0","0",,"213,781","33,095",,"6,003,442","0"
